dept,word,count
SPD,requestinformation,90
SPD,representation,90
SPD,queen,90
SPD,discriminate,90
SPD,relocatable,90
SPD,once,90
SPD,exploration,90
SPD,friends,90
SPD,emiliani,90
SPD,dump,90
SPD,propose,90
SPD,cole,89
SPD,being,89
SPD,army,89
SPD,decline,89
SPD,clarity,89
SPD,wisconsin,89
SPD,pension,89
SPD,bridget,89
SPD,interpret,88
SPD,middle,88
SPD,fulfill,88
SPD,long,88
SPD,unknown,88
SPD,cola,88
SPD,head,88
SPD,lawrence,88
SPD,fake,88
SPD,melissa,88
SPD,carolyn,88
SPD,operational,88
SPD,regulation,88
SPD,investment,88
SPD,kendall,88
SPD,medalle,88
SPD,meter,87
SPD,alleged,87
SPD,short,87
SPD,essential,87
SPD,holland,87
SPD,effort,87
SPD,ronald,87
SPD,performance,86
SPD,basic,86
SPD,authority,86
SPD,whistleblower,86
SPD,camping,86
SPD,harborview,86
SPD,convince,86
SPD,lieu,86
SPD,recently,85
SPD,download,85
SPD,proper,85
SPD,motorcycle,85
SPD,accept,85
SPD,utility,85
SPD,survey,85
SPD,spokane,85
SPD,sale,85
SPD,grant,85
SPD,checklist,84
SPD,harassment,84
SPD,precise,84
SPD,rainier,84
SPD,super,84
SPD,respect,84
SPD,banks,84
SPD,large,84
SPD,jorge,84
SPD,website,84
SPD,exhibit,84
SPD,accordance,84
SPD,incidentreport,84
SPD,andlor,84
SPD,tenant,84
SPD,rest,84
SPD,club,84
SPD,typically,84
SPD,opposite,83
SPD,establish,83
SPD,lose,83
SPD,richardson,83
SPD,acura,83
SPD,patronize,83
SPD,remember,83
SPD,language,83
SPD,nate,83
SPD,nell,83
SPD,stand,83
SPD,united,83
SPD,catherine,82
SPD,ravenna,82
SPD,identification,82
SPD,secretary,82
